premise,hypothesis,target,source,labels
"No Weapons of Mass Destruction Found in Iraq Yet.,Weapons of Mass Destruction Found in Iraq.,[0. 0.],"[Weapons of Mass Destruction, Found in Iraq]","not_entailment, not_entailment"
"A place of sorrow, after Pope John Paul II died, became a place of celebration, as Roman Catholic faithful gathered in downtown Chicago to mark the installation of new Pope Benedict XVI.",Pope Benedict XVI is the new leader of the Roman Catholic Church.,[0. 0.],"[Pope Benedict XVI, is the new leader of the Roman Catholic Church]","entailment, entailment"
"Herceptin was already approved to treat the sickest breast cancer patients, and the company said, Monday, it will discuss with federal regulators the possibility of prescribing the drug for more breast cancer patients.",Herceptin can be used to treat breast cancer.,[0. 0. 0.],"[Herceptin, can be used to, treat breast cancer]","entailment, entailment, entailment"
"Judie Vivian, chief executive at ProMedica, a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh City (formerly Saigon), said that so far about 1,500 children have received treatment.",The previous name of Ho Chi Minh City was Saigon.,[0. 0.],"[The previous name of Ho Chi Minh City, was Saigon]","entailment, entailment"
"A man is due in court later charged with the murder 26 years ago of a teenager whose case was the first to be featured on BBC One's Crimewatch. Colette Aram, 16, was walking to her boyfriend's house in Keyworth, Nottinghamshire, on 30 October 1983 when she disappeared. Her body was later found in a field close to her home. Paul Stewart Hutchinson, 50, has been charged with murder and is due before Nottingham magistrates later.",Paul Stewart Hutchinson is accused of having stabbed a girl.,[0. 0.],"[Paul Stewart Hutchinson, is accused of having stabbed a girl]","not_entailment, not_entailment"
"Britain said, Friday, that it has barred cleric, Omar Bakri, from returning to the country from Lebanon, where he was released by police after being detained for 24 hours.","Bakri was briefly detained, but was released.",[0. 0.],"[Bakri was briefly detained, but was released]","entailment, entailment"
"Nearly 4 million children who have at least one parent who entered the U.S. illegally were born in the United States and are U.S. citizens as a result, according to the study conducted by the Pew Hispanic Center. That's about three quarters of the estimated 5.5 million children of illegal immigrants inside the United States, according to the study. About 1.8 million children of undocumented immigrants live in poverty, the study found.",Three quarters of U.S. illegal immigrants have children.,[0. 0.],"[Three quarters of U.S. illegal immigrants, have children]","not_entailment, not_entailment"
"Like the United States, U.N. officials are also dismayed that Aristide killed a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feuding parties together.",Aristide had Prime Minister Robert Malval  murdered in Port-au-Prince.,[0. 0. 0.],"[Aristide, had Prime Minister Robert Malval  murdered, in Port-au-Prince]","not_entailment, not_entailment, not_entailment"
"WASHINGTON --  A newly declassified narrative of the Bush administration's advice to the CIA on harsh interrogations shows that the small group of Justice Department lawyers who wrote memos authorizing controversial interrogation techniques were operating not on their own but with direction from top administration officials, including then-Vice President Dick Cheney and national security adviser Condoleezza Rice. At the same time, the narrative suggests that then-Defense Secretary Donald H. Rumsfeld and then-Secretary of State Colin Powell were largely left out of the decision-making process.",Dick Cheney was the Vice President of Bush.,[0. 0.],"[Dick Cheney, was the Vice President of Bush]","entailment, entailment"
"Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.",Microsoft's Hotmail has raised its storage capacity to 250MB.,[0. 0. 0.],"[Microsoft's Hotmail, has raised its storage capacity, to 250MB]","entailment, entailment, entailment"
