premise,hypothesis,chunks1,chunks2,labels
A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,"[A group of kids, A group of kids, is playing, is playing, in a yard, in a yard, and an old man, and an old man, is standing, is standing, in the background]","[and a man, A group of boys, in a yard, is playing, and a man, in a yard, is standing, and a man, in the background, is standing, in the background]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,"[A group of children, A group of children, is playing, is playing, in the house, in the house, and there, is no man, is no man, standing in the background]","[and an old man, A group of kids, in a yard, is playing, is standing, in the background, in a yard, in a yard, is standing, in a yard]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, neutralAlign, unaligned, unaligned, unaligned, neutralAlign]"
The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,"[The young boys, The young boys, are playing outdoors, are playing outdoors, and the man, is smiling nearby]","[are playing outdoors, The kids, near a man, are playing outdoors, near a man, near a man]","[unaligned, entailAlign, unaligned, entailAlign, neutralAlign, unaligned]"
The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,"[The kids, The kids, outdoors, are playing outdoors, near a man, with a smile]","[and an old man, A group of kids, in a yard, is playing, in the background, and an old man]","[unaligned, entailAlign, entailAlign, entailAlign, unaligned, unaligned]"
The young boys are playing outdoors and the man is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,"[The young boys, The young boys, are playing outdoors, are playing outdoors, and the man, and the man, is smiling nearby, is smiling nearby]","[in a yard, A group of kids, in a yard, is playing, in a yard, and an old man, in a yard, is standing]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, neutralAlign, unaligned, neutralAlign]"
Two dogs are fighting,Two dogs are wrestling and hugging,"[Two dogs, Two dogs, are fighting, are fighting]","[are wrestling, Two dogs, and hugging, are wrestling]","[unaligned, entailAlign, unaligned, entailAlign]"
A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,"[A brown dog, is attacking, is attacking, another animal]","[are fighting, Two dogs, are fighting, Two dogs]","[unaligned, unaligned, neutralAlign, neutralAlign]"
A brown dog is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,"[A brown dog, is attacking, another animal, another animal, in front of the man, in pants]","[are wrestling, and hugging, and hugging, Two dogs, are wrestling, and hugging]","[unaligned, unaligned, unaligned, neutralAlign, unaligned, unaligned]"
Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,"[Nobody is, riding the bicycle, riding the bicycle, on one wheel]","[is doing tricks, in a black jacket, on a motorbike, in a black jacket]","[unaligned, unaligned, neutralAlign, unaligned]"
A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,"[A person, A person, is riding the bicycle, on one wheel, on one wheel]","[is doing tricks, A man, in a black jacket, in a black jacket, on a motorbike]","[unaligned, neutralAlign, unaligned, unaligned, neutralAlign]"
A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,"[A person, A person, on a black motorbike, is doing tricks, with a jacket]","[on one wheel, A person, on one wheel, is riding the bicycle, is riding the bicycle]","[unaligned, entailAlign, entailAlign, unaligned, unaligned]"
A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,"[A man, with a jersey, with a jersey, is dunking the ball, is dunking the ball, at a basketball game, at a basketball game]","[is being, is being, with a jersey, at a basketball game, The ball, dunked by a man, at a basketball game]","[unaligned, unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign]"
A man with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,"[A man, A man, with a jersey, is dunking the ball, is dunking the ball, at a basketball game]","[is in background, A man, and a crowd, and a crowd, playing dunks the basketball, and a crowd]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign, unaligned]"
The player is dunking the basketball into the net and a crowd is in background,A man with a jersey is dunking the ball at a basketball game,"[The player, is dunking the basketball, is dunking the basketball, into the net, and a crowd, is in background]","[with a jersey, with a jersey, is dunking the ball, at a basketball game, at a basketball game, with a jersey]","[unaligned, unaligned, entailAlign, unaligned, unaligned, unaligned]"
Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,"[Two people, Two people, are kickboxing, are kickboxing, and spectators, and spectators, are not, watching]","[are kickboxing, Two people, and spectators, are kickboxing, are watching, and spectators, are watching, are watching]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, neutralAlign]"
Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,"[Two young women, Two young women, are sparring, are sparring, in a kickboxing fight]","[are sparring, Two women, in a kickboxing match, are sparring, in a kickboxing match]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
Two young women are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,"[Two young women, Two young women, are not, sparring in a kickboxing fight]","[are sparring, Two women, in a kickboxing match, in a kickboxing match]","[unaligned, entailAlign, unaligned, entailAlign]"
Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,"[Two people, Two people, are kickboxing, and spectators, are watching]","[are not, Two young women, sparring in a kickboxing fight, are not, sparring in a kickboxing fight]","[unaligned, entailAlign, unaligned, unaligned, unaligned]"
Two women are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,"[Two women, Two women, are sparring, in a kickboxing match]","[and spectators, Two people, and spectators, and spectators]","[unaligned, entailAlign, unaligned, unaligned]"
Three boys are jumping in the leaves,Three kids are jumping in the leaves,"[Three boys, Three boys, are jumping, are jumping, in the leaves]","[in the leaves, Three kids, in the leaves, are jumping, in the leaves]","[unaligned, entailAlign, unaligned, entailAlign, neutralAlign]"
Three kids are sitting in the leaves,Three kids are jumping in the leaves,"[Three kids, Three kids, are sitting, are sitting, in the leaves]","[in the leaves, Three kids, in the leaves, are jumping, in the leaves]","[unaligned, entailAlign, unaligned, neutralAlign, neutralAlign]"
Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,"[Children in red shirts, are playing, are playing, in the leaves, in the leaves]","[in the leaves, in the leaves, are sitting, Three kids, in the leaves]","[unaligned, unaligned, neutralAlign, unaligned, neutralAlign]"
Children in red shirts are playing in the leaves,Three kids are jumping in the leaves,"[Children in red shirts, are playing, in the leaves, in the leaves]","[in the leaves, in the leaves, are jumping, in the leaves]","[unaligned, unaligned, unaligned, neutralAlign]"
Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,"[Two angels, Two angels, are making snow, on the lying children]","[in the snow, Two children, in the snow, in the snow]","[unaligned, neutralAlign, unaligned, unaligned]"
Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,"[Two children, Two children, are lying, are lying, in the snow, in the snow, and are, drawing angels]","[in snowsuits, Two people, in snowsuits, are lying, and making snow angels, in the snow, and making snow angels, in snowsuits]","[unaligned, neutralAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned]"
Two people in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,"[Two people, Two people, in snowsuits, are lying, in the snow, and making snow angels]","[are making snow, Two angels, on the lying children, on the lying children, on the lying children, on the lying children]","[unaligned, neutralAlign, unaligned, unaligned, unaligned, unaligned]"
Two children are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,"[Two children, Two children, are lying, are lying, in the snow, in the snow, and are, making snow angels]","[in snowsuits, Two people, in snowsuits, are lying, and making snow angels, in the snow, and making snow angels, in snowsuits]","[unaligned, neutralAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned]"
People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,"[People wearing costumes, People wearing costumes, are gathering, in a forest, in a forest, and are, looking in the same direction, looking in the same direction]","[in the same direction, Masked people, in a forest, in the same direction, in a forest, in the same direction, are looking, in the same direction]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, unaligned, entailAlign]"
People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,"[People wearing costumes, People wearing costumes, are gathering, are gathering, in a forest, in a forest, and are, and are, looking in the same direction]","[are scattering, People wearing costumes, in a forest, are scattering, and are, in a forest, looking in different directions, and are, looking in different directions]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,"[People are, People are, looking at some costumes, looking at some costumes, gathered in the vicinity of the forest]","[in a forest, are gathering, in a forest, People wearing costumes, and are]","[unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,"[A little girl, is looking, at a woman, in costume, in costume]","[looking in different directions, looking in different directions, looking in different directions, are scattering, People wearing costumes]","[unaligned, unaligned, unaligned, unaligned, neutralAlign]"
A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,"[A little girl, is looking, at a woman, in costume]","[gathered in the vicinity of the forest, gathered in the vicinity of the forest, gathered in the vicinity of the forest, gathered in the vicinity of the forest]","[unaligned, unaligned, unaligned, unaligned]"
A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,"[A young girl, is looking, at a woman, in costume, in costume]","[are gathering, in a forest, in a forest, are gathering, People wearing costumes]","[unaligned, unaligned, unaligned, unaligned, neutralAlign]"
People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,"[People wearing costumes, People wearing costumes, are gathering, in a forest, and are, looking in the same direction]","[at a man, in costume, at a man, is looking, at a man, is looking]","[unaligned, entailAlign, unaligned, unaligned, unaligned, unaligned]"
People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,"[People wearing costumes, People wearing costumes, are gathering, in a forest, and are, looking in the same direction]","[A little girl, in costume, looks like a woman, looks like a woman, looks like a woman, looks like a woman]","[unaligned, entailAlign, unaligned, unaligned, unaligned, unaligned]"
A lone biker is jumping in the air,"A biker is jumping in the air, alone","[A lone biker, A lone biker, is jumping, is jumping, in the air, in the air]","[in the air, A biker, alone, is jumping, alone, in the air]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
There is no biker jumping in the air,A lone biker is jumping in the air,"[There is, There is, no biker, no biker, jumping in the air]","[A lone biker, is jumping, in the air, A lone biker, in the air]","[unaligned, entailAlign, unaligned, neutralAlign, neutralAlign]"
A man is jumping into an empty pool,A man is jumping into a full pool,"[A man, A man, is jumping, is jumping, into an empty pool]","[into a full pool, A man, into a full pool, is jumping, into a full pool]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A man is jumping into an empty pool,The man's jumper is in the empty pool,"[A man, is jumping, into an empty pool, into an empty pool]","[is in the empty pool, is in the empty pool, The man's jumper, is in the empty pool]","[unaligned, unaligned, unaligned, entailAlign]"
A lone biker is jumping in the air,A man is jumping into a full pool,"[A lone biker, is jumping, is jumping, in the air]","[into a full pool, into a full pool, is jumping, into a full pool]","[unaligned, unaligned, entailAlign, unaligned]"
The man's jumper is in the empty pool,A lone biker is jumping in the air,"[The man's jumper, is in the empty pool]","[is jumping, A lone biker]","[unaligned, unaligned]"
A lone biker is jumping in the air,A man is jumping into an empty pool,"[A lone biker, is jumping, is jumping, in the air]","[into an empty pool, into an empty pool, is jumping, into an empty pool]","[unaligned, unaligned, entailAlign, unaligned]"
Four kids are doing backbends in the park,Four children are doing backbends in the park,"[Four kids, Four kids, are doing backbends, are doing backbends, in the park]","[are doing backbends, Four children, in the park, are doing backbends, in the park]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
Four children are doing backbends in the gym,Four children are doing backbends in the park,"[Four children, Four children, are doing backbends, are doing backbends, in the gym]","[in the park, Four children, in the park, are doing backbends, in the park]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,"[Four girls, Four girls, are doing backbends, are doing backbends, and playing]","[and playing outdoors, Four girls, and playing outdoors, are doing backbends, and playing outdoors]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A man who is playing is running with the ball in his hands,A player is running with the ball,"[A man, who is, playing is, running with the ball, running with the ball, in his hands]","[is running, is running, with the ball, is running, with the ball, is running]","[unaligned, unaligned, unaligned, unaligned, entailAlign, unaligned]"
Two groups of people are playing football,A player is running with the ball,"[Two groups of people, are playing football]","[with the ball, with the ball]","[unaligned, unaligned]"
Two teams are competing in a baseball game,A player is running with the ball,"[Two teams, are competing, in a baseball game, in a baseball game]","[is running, with the ball, is running, with the ball]","[unaligned, unaligned, unaligned, neutralAlign]"
A player is running with the ball,Two teams are competing in a football match,"[A player, is running, with the ball]","[are competing, in a football match, are competing]","[unaligned, unaligned, unaligned]"
Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,"[Five wooden stands, are in front of each child's hut, are in front of each child's hut]","[are standing, Five children, in front of a wooden hut]","[unaligned, unaligned, entailAlign]"
Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,"[Five kids, Five kids, are standing close together, are standing close together, and one kid, has a gun, has a gun]","[and none of the kids, Five kids, and none of the kids, are standing close together, has a gun, and none of the kids, has a gun]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, entailAlign]"
Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,"[Five kids, Five kids, are standing close together, are standing close together, and none of the kids, has a gun]","[in front of a wooden hut, Five children, in front of a wooden hut, are standing, in front of a wooden hut, in front of a wooden hut]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned]"
