premise,hypothesis,source,target,labels

"When I pulled the pin out, it had a hole. I stuck a pin through a carrot.",The carrot had a hole.,"['I stuck a pin through a carrot', 'When I pulled the pin out, it had a hole.']","['The carrot had a hole.', 'The carrot had a hole.']","['entailAlign', 'unaligned']"

The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,The police were trying to stop the drug trade in the neighborhood.,"['The police arrested all of the gang members', 'They were trying to stop the drug trade in the neighborhood.']","['The police were trying to stop the drug trade in the neighborhood.', 'The police were trying to stop the drug trade in the neighborhood.']","['entailAlign', 'unaligned']"

He influences him hugely. Steve follows Fred's example in everything.,Steve influences him hugely.,"[""Steve follows Fred's example in everything"", 'He influences him hugely.']","['Steve influences him hugely.', 'Steve influences him hugely.']","['entailAlign', 'unaligned']"

"She was careful not to disturb her, undressing and climbing back into her berth. When Tatyana reached the cabin, her mother was sleeping.","mother was careful not to disturb her, undressing and climbing back into her berth.","['When Tatyana reached the cabin, her mother was sleeping', 'She was careful not to disturb her, undressing and climbing back into her berth.']","['mother was careful not to disturb her, undressing and climbing back into her berth.', 'mother was careful not to disturb her, undressing and climbing back into her berth.']","['entailAlign', 'unaligned']"

He was very impressive. John was jogging through the park when he saw a man juggling watermelons.,John was very impressive.,"['John was jogging through the park when he saw a man juggling watermelons', 'He was very impressive.']","['John was very impressive.', 'John was very impressive.']","['entailAlign', 'unaligned']"

"But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office. Always before, Larry had helped Dad with his work.",Dad could not help him now.,"['Always before, Larry had helped Dad with his work', 'But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.']","['Dad could not help him now.', 'Dad could not help him now.']","['entailAlign', 'unaligned']"

I put the cake away in the refrigerator. It has a lot of butter in it.,The cake has a lot of butter in it.,"['I put the cake away in the refrigerator', 'It has a lot of butter in it.']","['The cake has a lot of butter in it.', 'The cake has a lot of butter in it.']","['entailAlign', 'unaligned']"

"Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault. Lionel is holding captive a scientist, Dr.",Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.,"['Lionel is holding captive a scientist, Dr', 'Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.']","['Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.', 'Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.']","['entailAlign', 'unaligned']"

The foxes are getting in at night and attacking the chickens. They have gotten very bold.,The foxes have gotten very bold.,"['The foxes are getting in at night and attacking the chickens', 'They have gotten very bold.']","['The foxes have gotten very bold.', 'The foxes have gotten very bold.']","['entailAlign', 'unaligned']"

"If Adam hadn't had a sudden run of good luck, he would have won. Bob was playing cards with Adam and was way ahead.",Adam would have won.,"['Bob was playing cards with Adam and was way ahead', ""If Adam hadn't had a sudden run of good luck, he would have won.""]","['Adam would have won.', 'Adam would have won.']","['entailAlign', 'unaligned']"

Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,The crutches should be better.,"[""Sam broke both his ankles and he's walking with crutches"", 'But a month or so from now they should be better.']","['The crutches should be better.', 'The crutches should be better.']","['entailAlign', 'unaligned']"

"Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.",His friend Henry let him stack Grant and his family in his barn where they would dry.,"['Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry', 'Later, he and Tatyana would shell them and cook them for their Sunday dinners.']","['His friend Henry let him stack Grant and his family in his barn where they would dry.', 'His friend Henry let him stack Grant and his family in his barn where they would dry.']","['entailAlign', 'unaligned']"

"Jane knocked on the door, and Susan answered it. She invited her to come out.",Jane invited her to come out.,"['Jane knocked on the door, and Susan answered it', 'She invited her to come out.']","['Jane invited her to come out.', 'Jane invited her to come out.']","['entailAlign', 'unaligned']"

Dan had to stop Bill from toying with the injured bird. He is very cruel.,Bill is very cruel.,"['Dan had to stop Bill from toying with the injured bird', 'He is very cruel.']","['Bill is very cruel.', 'Bill is very cruel.']","['entailAlign', 'unaligned']"

He will be moving into it on Thursday. Joe has sold his house and bought a new one a few miles away.,He will be moving into The new house on Thursday.,"['Joe has sold his house and bought a new one a few miles away', 'He will be moving into it on Thursday.']","['He will be moving into The new house on Thursday.', 'He will be moving into The new house on Thursday.']","['entailAlign', 'unaligned']"

"Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.",He could not help Dad now.,"['Always before, Larry had helped Dad with his work', 'But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.']","['He could not help Dad now.', 'He could not help Dad now.']","['entailAlign', 'unaligned']"

"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",Prehistoric humans hunted for deer on the river banks.,"['Archaeologists have concluded that humans lived in Laputa 20,000 years ago', 'They hunted for deer on the river banks.']","['Prehistoric humans hunted for deer on the river banks.', 'Prehistoric humans hunted for deer on the river banks.']","['entailAlign', 'unaligned']"

She writes it when she gets home from work. Sara borrowed the book from the library because she needs it for an article she is working on.,She writes the book when she gets home from work.,"['Sara borrowed the book from the library because she needs it for an article she is working on', 'She writes it when she gets home from work.']","['She writes the book when she gets home from work.', 'She writes the book when she gets home from work.']","['entailAlign', 'unaligned']"

Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads the article when she gets home from work.,"['Sara borrowed the book from the library because she needs it for an article she is working on', 'She reads it when she gets home from work.']","['She reads the article when she gets home from work.', 'She reads the article when she gets home from work.']","['entailAlign', 'unaligned']"

Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after Steve.,"[""Mark heard Steve's feet going down the ladder"", 'The door of the shop closed after him']","['The door of the shop closed after Steve.', 'The door of the shop closed after Steve.']","['entailAlign', 'unaligned']"

"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.","When Fred first saw my father, My father was twelve years old.","['Fred is the only man alive who still remembers my father as an infant', 'When Fred first saw my father, he was twelve years old.']","['When Fred first saw my father, My father was twelve years old.', 'When Fred first saw my father, My father was twelve years old.']","['entailAlign', 'unaligned']"

"Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There's plenty.""","Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.","['Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests', 'Now Tatyana watched as Grandma gathered Tatyana\'s small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: ""There\'s plenty.""']","[""Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table."", ""Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Grandma to the table.""]","['entailAlign', 'unaligned']"

Fred watched TV while George went out to buy groceries. After an hour he got back.,George got back.,"['Fred watched TV while George went out to buy groceries', 'After an hour he got back.']","['George got back.', 'George got back.']","['entailAlign', 'unaligned']"

"I don't know why he was, but he looked very unhappy. I saw Jim yelling at some guy in a military uniform with a huge red beard.","I don't know why the guy in uniform was, but he looked very unhappy.","['I saw Jim yelling at some guy in a military uniform with a huge red beard', ""I don't know why he was, but he looked very unhappy.""]","[""I don't know why the guy in uniform was, but he looked very unhappy."", ""I don't know why the guy in uniform was, but he looked very unhappy.""]","['entailAlign', 'unaligned']"

Singer's heels Mark was close to Mr.,Mr. Singer heard him calling for the captain,"['Mark was close to Mr', ""Singer's heels""]","['Mr. Singer heard him calling for the captain', 'Mr. Singer heard him calling for the captain']","['entailAlign', 'unaligned']"

Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.,My great-grandfather was a remarkable man.,"['Fred is the only man still alive who remembers my great-grandfather', 'He was a remarkable man.']","['My great-grandfather was a remarkable man.', 'My great-grandfather was a remarkable man.']","['entailAlign', 'unaligned']"

But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel. No one joins Facebook to be sad and lonely.,That's exactly how the study makes us feel.,"['No one joins Facebook to be sad and lonely', ""But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.""]","[""That's exactly how the study makes us feel."", ""That's exactly how the study makes us feel.""]","['entailAlign', 'unaligned']"

Bob paid for Charlie's college education. He is very generous.,Bob is very generous.,"[""Bob paid for Charlie's college education"", 'He is very generous.']","['Bob is very generous.', 'Bob is very generous.']","['entailAlign', 'unaligned']"

"Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet. Equally swoon-worthy is C.K.","Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at Haven's feet.","['Equally swoon-worthy is C.K', 'Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet.']","[""Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at Haven's feet."", ""Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at Haven's feet.""]","['entailAlign', 'unaligned']"

He will be moving out of it on Thursday. Joe has sold his house and bought a new one a few miles away.,He will be moving out of The old house on Thursday.,"['Joe has sold his house and bought a new one a few miles away', 'He will be moving out of it on Thursday.']","['He will be moving out of The old house on Thursday.', 'He will be moving out of The old house on Thursday.']","['entailAlign', 'unaligned']"

Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.,The door of the shop closed after Mark.,"[""Mark heard Steve's feet going down the ladder"", 'The door of the shop closed after him']","['The door of the shop closed after Mark.', 'The door of the shop closed after Mark.']","['entailAlign', 'unaligned']"

"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",Even one thread uncut will leave the right size too small.,"['It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size', 'The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.']","['Even one thread uncut will leave the right size too small.', 'Even one thread uncut will leave the right size too small.']","['entailAlign', 'unaligned']"

The fish ate the worm. It was hungry.,The worm was hungry.,"['The fish ate the worm', 'It was hungry.']","['The worm was hungry.', 'The worm was hungry.']","['entailAlign', 'unaligned']"

"They were very cooperative, so the interview lasted for a long time. The journalists interviewed the stars of the new movie.","The journalists were very cooperative, so the interview lasted for a long time.","['The journalists interviewed the stars of the new movie', 'They were very cooperative, so the interview lasted for a long time.']","['The journalists were very cooperative, so the interview lasted for a long time.', 'The journalists were very cooperative, so the interview lasted for a long time.']","['entailAlign', 'unaligned']"

At that date he had been travelling for five years. Thomson visited Cooper's grave in 1765.,Cooper had been travelling for five years.,"[""Thomson visited Cooper's grave in 1765"", 'At that date he had been travelling for five years.']","['Cooper had been travelling for five years.', 'Cooper had been travelling for five years.']","['entailAlign', 'unaligned']"

"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",She put the album on a chair without even opening the living room.,"['Alice was dusting the living room and trying to find the button that Mama had hidden', 'No time today to look at old pictures in her favorite photo album']","['She put the album on a chair without even opening the living room.', 'She put the album on a chair without even opening the living room.']","['entailAlign', 'unaligned']"

The foxes are getting in at night and attacking the chickens. I shall have to kill them.,I shall have to kill The foxes.,"['The foxes are getting in at night and attacking the chickens', 'I shall have to kill them.']","['I shall have to kill The foxes.', 'I shall have to kill The foxes.']","['entailAlign', 'unaligned']"

"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.",Pam's parents were furious about it.,"[""Pam's parents came home and found her having sex with her boyfriend, Paul"", 'They were furious about it.']","[""Pam's parents were furious about it."", ""Pam's parents were furious about it.""]","['entailAlign', 'unaligned']"

He was immediately taken to the hospital. The customer walked into the bank and stabbed one of the tellers.,The customer was immediately taken to the hospital.,"['The customer walked into the bank and stabbed one of the tellers', 'He was immediately taken to the hospital.']","['The customer was immediately taken to the hospital.', 'The customer was immediately taken to the hospital.']","['entailAlign', 'unaligned']"

Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.,Mama stroked her hair and let the child weep.,"['Mama came over and sat down beside Alice', 'Gently she stroked her hair and let the child weep.']","['Mama stroked her hair and let the child weep.', 'Mama stroked her hair and let the child weep.']","['entailAlign', 'unaligned']"

