premise,hypothesis,chunks1,chunks2,labels
A boy on a bicycle watching a band playing on the sidewalk.,A boy on a scooter ignores a band as they play,"[A boy, A boy, on a bicycle, on a bicycle, watching a band, a band playing, watching a band, playing on the sidewalk]","[ignores a band, A boy, ignores a band, on a scooter, as they, a band as they, ignores a band, ignores a band]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign, contradictAlign, unaligned]"
A boy on a bicycle watching a band playing on the sidewalk.,A boy watches his father perform in a local band,"[A boy, A boy, on a bicycle, watching a band, watching a band, playing on the sidewalk]","[watches his father, A boy, perform in a local band, perform in a local band, watches his father, perform in a local band]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign, neutralAlign]"
A boy on a bicycle watching a band playing on the sidewalk.,A child watches a band play music,"[A boy, A boy, on a bicycle, watching a band, watching a band, playing on the sidewalk, watching a band playing on the sidewalk]","[play music, A child, play music, play music, watches a band, play music, watches a band play music]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, neutralAlign, entailAlign]"
Three men examining clothing in a clothing shop.,Men look at clothing in a store.,"[Three men, Three men, examining clothing, examining clothing, in a clothing shop, in a clothing shop]","[in a store, Men, in a store, look at clothing, Men look, in a store]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
Three men examining clothing in a clothing shop.,Three men look at toys in a toy store.,"[Three men, Three men, examining clothing, examining clothing, examining clothing, in a clothing shop]","[in a toy store, Three men, looks at toys in a toy store, in a toy store, look at toys, in a toy store]","[unaligned, entailAlign, unaligned, unaligned, contradictAlign, neutralAlign]"
Three men examining clothing in a clothing shop.,Three men look at suits in a suit shop.,"[Three men, Three men, examining clothing, examining clothing, in a clothing shop]","[in a suit shop, Three men, in a suit shop, look at suits, in a suit shop]","[unaligned, entailAlign, unaligned, neutralAlign, neutralAlign]"
The boy with the red trunks kicks and grins as he falls back down after being thrown in the air by the man standing in the waist deep water.,A man throws a boy into the snow.,"[The boy, The boy, The boy, with the red trunks, kicks and grins, as he, falls back down, after being, being thrown in the air by the man, by the man, in the air, standing in the waist deep water]","[into the snow, A man, a boy, into the snow, into the snow, into the snow, into the snow, into the snow, A man throws a boy, into the snow, into the snow, into the snow]","[unaligned, neutralAlign, entailAlign, unaligned, unaligned, unaligned, unaligned, unaligned, entailAlign, unaligned, contradictAlign, unaligned]"
The boy with the red trunks kicks and grins as he falls back down after being thrown in the air by the man standing in the waist deep water.,A man and a boy are near water.,"[The boy, The boy, with the red trunks, kicks and grins, as he, falls back down, after being, thrown in the air, by the man, standing in the waist deep water, standing in the waist deep water]","[are near water, A man, are near water, are near water, are near water, are near water, are near water, and a boy, are near water, and a boy, are near water]","[unaligned, neutralAlign, unaligned, unaligned, unaligned, unaligned, unaligned, unaligned, unaligned, unaligned, entailAlign]"
The boy with the red trunks kicks and grins as he falls back down after being thrown in the air by the man standing in the waist deep water.,A man is teaching his son how to swim.,"[The boy, The boy, with the red trunks, kicks and grins, as he, falls back down, after being thrown in the air, by the man, standing in the waist deep water, standing in the waist deep water]","[swim, A man, is teaching his son, is teaching his son, is teaching his son, swim, is teaching, is teaching his son, is teaching his son, swim]","[unaligned, neutralAlign, unaligned, unaligned, unaligned, unaligned, neutralAlign, unaligned, unaligned, neutralAlign]"
Two police are on patrol on two horses.,Two policemen are chasing a bad guy.,"[Two police, Two police, are on patrol, on two horses]","[are chasing a bad guy, Two policemen, are chasing a bad guy, are chasing a bad guy]","[unaligned, entailAlign, neutralAlign, unaligned]"
Two police are on patrol on two horses.,Two policemen are looking for escaped bandits,"[Two police, Two police, are on patrol, on two horses]","[are looking, Two policemen, are looking for escaped bandits, for escaped bandits]","[unaligned, entailAlign, neutralAlign, unaligned]"
Two police are on patrol on two horses.,Two policemen riding their horses on patrol are looking for a lost boy.,"[Two police, Two police, are on patrol, are on patrol, on two horses, on two horses]","[are looking, Two policemen, riding their horses, on patrol, for a lost boy, riding their horses]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A man wearing a suit and tie kicking his heels together.,A dog stands on two legs.,"[A man, wearing a suit, and tie, kicking his heels together]","[stands on two legs, stands on two legs, stands on two legs, stands on two legs]","[unaligned, unaligned, unaligned, unaligned]"
A man wearing a suit and tie kicking his heels together.,A man is very happy after celebrating his birthday.,"[A man, A man, wearing a suit, and tie, kicking his heels together]","[after celebrating his birthday, A man, celebrating his birthday, after celebrating his birthday, celebrating his birthday]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
A man wearing a suit and tie kicking his heels together.,A man is wearing a suit.,"[A man, A man, wearing a suit, kicking his heels together]","[is wearing a suit, A man, is wearing a suit, is wearing a suit]","[unaligned, entailAlign, entailAlign, unaligned]"
A black dog and a woman in a red shirt playing tug-of-war.,A dog and girl are playing tug-of-war.,"[A black dog, A black dog, and a woman, and a woman, in a red shirt, playing tug-of-war]","[are playing tug-of-war, A dog, are playing tug-of-war, and girl, are playing tug-of-war, are playing tug-of-war]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign]"
A black dog and a woman in a red shirt playing tug-of-war.,A dog is playing tug of war with her turtle.,"[A black dog, A black dog, and a woman, in a red shirt, playing tug-of-war, playing tug-of-war]","[tug of war, A dog, with her turtle, with her turtle, with her turtle, is playing tug of war]","[unaligned, entailAlign, contradictAlign, unaligned, unaligned, entailAlign]"
A black dog and a woman in a red shirt playing tug-of-war.,A girl is training her dog for obedience.,"[A black dog, A black dog, and a woman, and a woman, in a red shirt, playing tug-of-war]","[is training her dog, her dog, A girl, is training her dog, for obedience, is training her dog]","[unaligned, entailAlign, neutralAlign, unaligned, unaligned, neutralAlign]"
An elderly man sits in a chair in an alleyway.,The man is sitting down.,"[An elderly man, An elderly man, sits in a chair]","[is sitting down, The man, is sitting down]","[unaligned, entailAlign, entailAlign]"
An elderly man sits in a chair in an alleyway.,An elderly man is sitting outside,"[An elderly man, An elderly man, sits in a chair, in an alleyway]","[is sitting outside, An elderly man, is sitting, outside]","[unaligned, entailAlign, entailAlign, neutralAlign]"
An elderly man sits in a chair in an alleyway.,A person is resting himself on an appropriate object outside.,"[An elderly man, An elderly man, sits in a chair, in an alleyway]","[is resting himself, A person, is resting himself on an appropriate object, outside]","[unaligned, entailAlign, entailAlign, neutralAlign]"
A man works on a piece of wood on a spinner.,The man is at his place of employment,"[A man, A man, works on a piece of wood, on a spinner]","[is at his place of employment, The man, is at his place of employment, is at his place of employment]","[unaligned, entailAlign, neutralAlign, unaligned]"
A man works on a piece of wood on a spinner.,A woman is working,"[A man, A man, works on a piece of wood, on a spinner]","[is working, A woman, is working, is working]","[unaligned, contradictAlign, entailAlign, unaligned]"
A man works on a piece of wood on a spinner.,A man is working,"[A man, A man, works on a piece of wood, on a spinner]","[is working, A man, is working, is working]","[unaligned, entailAlign, entailAlign, unaligned]"
A woman holding an umbrella.,The woman is trying to avoid the rain.,"[A woman, A woman, holding an umbrella]","[to avoid the rain, The woman, to avoid the rain]","[unaligned, entailAlign, entailAlign]"
A woman holding an umbrella.,The woman is holding something.,"[A woman, A woman, holding an umbrella]","[is holding something, The woman, is holding something]","[unaligned, entailAlign, entailAlign]"
A woman holding an umbrella.,The woman is not holding the umbrella.,"[A woman, A woman, holding an umbrella, is holding an umbrella]","[is not, The woman, is not, is not holding the umbrella]","[unaligned, entailAlign, unaligned, contradictAlign]"
Two soccer players going head-to-head for a soccer ball.,People are playing soccer.,"[Two soccer players, going head-to-head for a soccer ball, for a soccer ball]","[People, are playing soccer, People are]","[entailAlign, entailAlign, unaligned]"
Two soccer players going head-to-head for a soccer ball.,The soccer players are rivals.,"[Two soccer players, Two soccer players, going head-to-head, for a soccer ball]","[are rivals, The soccer players, are rivals, are rivals]","[unaligned, entailAlign, entailAlign, unaligned]"
Two soccer players going head-to-head for a soccer ball.,No one is playing soccer.,"[Two soccer players, going head-to-head, for a soccer ball, going head-to-head for a soccer ball]","[No one, No one, is playing soccer, is playing soccer]","[contradictAlign, unaligned, unaligned, contradictAlign]"
"Two middle-aged women perform on a stage, one playing keyboards, the other singing.",Two women perform music.,"[Two middle-aged women, Two middle-aged women, the other, playing keyboards, singing]","[perform music, Two women, perform music, perform music, perform music]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
"Two middle-aged women perform on a stage, one playing keyboards, the other singing.",Two women perform rock music.,"[Two middle-aged women, Two middle-aged women, one playing keyboards, the other, singing]","[perform rock music, Two women, perform rock music, perform rock music, perform rock music]","[unaligned, entailAlign, neutralAlign, unaligned, neutralAlign]"
"Two middle-aged women perform on a stage, one playing keyboards, the other singing.",Two men read poetry.,"[Two middle-aged women, Two middle-aged women, perform on a stage, one playing keyboards, the other, singing]","[read poetry, Two men, read poetry, read poetry, read poetry, read poetry]","[unaligned, entailAlign, neutralAlign, contradictAlign, unaligned, neutralAlign]"
"A man under the black hood of a camera, standing close to vehicles and an RV.",A man takes pictures next to an RV taking pictures.,"[A man, A man, under the black hood of a camera, standing close to to vehicles and an RV, to vehicles, and an RV]","[takes pictures next, A man, takes pictures, next to an RV, takes pictures next, takes pictures next]","[unaligned, entailAlign, neutralAlign, entailAlign, unaligned, unaligned]"
"A man under the black hood of a camera, standing close to vehicles and an RV.",A man gets ready to take pictures next to his RV on a family vacation.,"[A man, A man, under the black hood of a camera, under the black hood of a camera, standing close to a vehicle and an RV, to vehicles, and an RV]","[on a family vacation, A man, to his RV, gets ready to take pictures, next to his RV, on a family vacation, on a family vacation]","[unaligned, entailAlign, unaligned, neutralAlign, entailAlign, unaligned, unaligned]"
"A man under the black hood of a camera, standing close to vehicles and an RV.",A man packs up his camping gear.,"[A man, A man, under the black hood of a camera, standing close to vehicles and an RV]","[packs up his camping gear, A man, packs up his camping gear, packs up his camping gear]","[unaligned, entailAlign, unaligned, contradictAlign]"
A woman bites into a chicken skewer.,A woman eating chicken.,"[A woman, A woman, bites into a chicken skewer]","[eating chicken, A woman, eating chicken]","[unaligned, entailAlign, entailAlign]"
A woman bites into a chicken skewer.,A woman at a fancy restaurant.,"[A woman, A woman, bites into a chicken skewer]","[at a fancy restaurant, A woman, at a fancy restaurant]","[unaligned, entailAlign, neutralAlign]"
A woman bites into a chicken skewer.,A woman eating steak.,"[A woman, A woman, bites into a chicken skewer]","[eating steak, A woman, eating steak]","[unaligned, entailAlign, contradictAlign]"
A woman plays the violin.,A women plays a violin.,"[A woman, A woman, plays the violin]","[plays a violin, A women, plays a violin]","[unaligned, entailAlign, entailAlign]"
A woman plays the violin.,A women plays a violin for an audience.,"[A woman, A woman, plays the violin, plays the violin]","[for an audience, A women, plays a violin for an audience, plays a violin]","[unaligned, entailAlign, neutralAlign, entailAlign]"
A woman plays the violin.,A women plays the drums.,"[A woman, plays the violin]","[A women, plays the drums]","[entailAlign, contradictAlign]"
Two girls crouch in front of a garden of small shrubbery.,The girls are standing.,"[Two girls, Two girls, crouch]","[are standing, The girls, are standing]","[unaligned, entailAlign, contradictAlign]"
Two girls crouch in front of a garden of small shrubbery.,Two girls are in a garden.,"[Two girls, Two girls, crouch in front of a garden of small shrubbery]","[are in a garden, Two girls, are in a garden]","[unaligned, entailAlign, entailAlign]"
Two girls crouch in front of a garden of small shrubbery.,The girls are waiting in the rain.,"[Two girls, Two girls, crouch in front of a garden of small shrubbery]","[in the rain, The girls, are waiting in the rain]","[unaligned, entailAlign, contradictAlign]"
A group of african american girls are sitting together.,The girls are hanging out at their friends house after school.,"[A group of african american girls, A group of african american girls, are sitting together, are sitting together]","[at their friends house, The girls, at their friends house, are hanging out]","[unaligned, entailAlign, unaligned, neutralAlign]"
A group of african american girls are sitting together.,The girls are setting off firecrackers and sparklers on 4th of July evening.,"[A group of african american girls, A group of african american girls, are sitting together, are sitting together]","[are setting off firecrackers, The girls, and sparklers, are setting off firecrackers]","[unaligned, entailAlign, unaligned, neutralAlign]"
A group of african american girls are sitting together.,There are several young girls in this picture.,"[A group of african american girls, A group of african american girls, are sitting together]","[in this picture, several young girls, in this picture]","[unaligned, entailAlign, unaligned]"
A mountain biker riding his bike down a muddy path with mud splashing into the air and the biker is covered in mud.,A biker is riding down a muddy path and getting all dirty.,"[A mountain biker, A mountain biker, riding his bike, riding his bike, down a muddy path, down a muddy path, with mud, splashing into the air, the biker is covered in mud, is covered]","[and getting all dirty, A biker, and getting all dirty, riding, and getting all dirty, down a muddy path, and getting all dirty, and getting all dirty, getting all dirty, and getting all dirty]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned]"
A mountain biker riding his bike down a muddy path with mud splashing into the air and the biker is covered in mud.,A biker is playing volleyball.,"[A mountain biker, A mountain biker, riding his bike, down a muddy path, with mud, splashing into the air, the biker is covered in mud]","[is playing volleyball, A biker, is playing volleyball, is playing volleyball, is playing volleyball, is playing volleyball, is playing volleyball]","[unaligned, entailAlign, contradictAlign, unaligned, unaligned, unaligned, unaligned]"
A mountain biker riding his bike down a muddy path with mud splashing into the air and the biker is covered in mud.,The rider is mad because they are dirty.,"[A mountain biker, A mountain biker, riding his bike, down a muddy path, with mud, splashing into the air, the biker is covered in mud]","[is mad, The rider, are dirty, are dirty, are dirty, is mad, are dirty]","[unaligned, entailAlign, unaligned, unaligned, unaligned, unaligned, unaligned]"
A smiling man standing on two scooters.,A man is balanced between two motorized vehicles.,"[A smiling man, A smiling man, standing, standing on two scooters]","[between two motorized vehicles, A man, is balanced, between two motorized vehicles]","[unaligned, entailAlign, entailAlign, entailAlign]"
A smiling man standing on two scooters.,The man is just performed a risky stunt on the two scooters and is feeling good about himself.,"[A smiling man, A smiling man, standing on two scooters, standing, standing on two scooters]","[on the two scooters, The man, is feeling good, is just performed a risky stunt, on the two scooters]","[unaligned, entailAlign, unaligned, neutralAlign, entailAlign]"
A smiling man standing on two scooters.,The screaming man is on the ground with blood pouring from his forehead.,"[A smiling man, A smiling man, standing on two scooters]","[is on the ground, The screaming man, is on the ground]","[unaligned, contradictAlign, contradictAlign]"
A man swinging at a tennis ball with a green sign that read findersport.,A man practices serving to a friend with his tennis racket.,"[A man, A man, swinging at a tennis ball, swinging at a tennis ball, with a green sign, with a green sign, that read findersport]","[practices serving, A man, practices serving, with his tennis racket, practices serving, with his tennis racket, to a friend]","[unaligned, entailAlign, neutralAlign, entailAlign, unaligned, neutralAlign, unaligned]"
A man swinging at a tennis ball with a green sign that read findersport.,The man is wearing shoes.,"[A man, A man, swinging at a tennis ball, with a green sign, that read findersport]","[is wearing shoes, The man, is wearing shoes, is wearing shoes, is wearing shoes]","[unaligned, entailAlign, neutralAlign, unaligned, unaligned]"
A man swinging at a tennis ball with a green sign that read findersport.,The writing is in french,"[A man, swinging at a tennis ball, with a green sign, with a green sign, that read findersport]","[is in french, is in french, is in french, The writing, is in french]","[unaligned, unaligned, unaligned, entailAlign, contradictAlign]"
A volleyball player spikes the ball.,A volleyball player does a perfect spike.,"[A volleyball player, A volleyball player, spikes the ball]","[does a perfect spike, A volleyball player, does a perfect spike]","[unaligned, entailAlign, entailAlign]"
A volleyball player spikes the ball.,The volleyball got spiked.,"[A volleyball player, the ball, spikes the ball]","[got spiked, The volleyball, The volleyball got spiked]","[unaligned, entailAlign, entailAlign]"
A volleyball player spikes the ball.,A football player throws a touchdown.,"[A volleyball player, A volleyball player, spikes the ball]","[throws a touchdown, A football player, throws a touchdown]","[unaligned, neutralAlign, neutralAlign]"
Two workers stand at an entrance.,The workers are swimming in the pool.,"[Two workers, Two workers, stand at an entrance]","[in the pool, The workers, are swimming in the pool]","[unaligned, entailAlign, neutralAlign]"
Two workers stand at an entrance.,The workers are janitors.,"[Two workers, Two workers, stand at an entrance]","[are janitors, The workers, are janitors]","[unaligned, entailAlign, neutralAlign]"
Two workers stand at an entrance.,The workers have their feet on the ground.,"[Two workers, Two workers, stand at an entrance]","[on the ground, The workers, have their feet on the ground]","[unaligned, entailAlign, entailAlign]"
Two asian ladies in pink dresses with white hats on laughing at something in the distance.,the ladies are frowning,"[Two asian ladies, Two asian ladies, in pink dresses, in pink dresses, with white hats, laughing at something, in the distance]","[are frowning, the ladies, are frowning, the ladies, are frowning, are frowning, are frowning]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, contradictAlign, unaligned]"
Two asian ladies in pink dresses with white hats on laughing at something in the distance.,two ladies are in pink,"[Two asian ladies, Two asian ladies, in pink dresses]","[are in pink, two ladies, are in pink]","[unaligned, entailAlign, entailAlign]"
Two asian ladies in pink dresses with white hats on laughing at something in the distance.,the ladies are beautiful,"[Two asian ladies, Two asian ladies, in pink dresses, in pink dresses, with white hats, laughing at something, in the distance]","[are beautiful, the ladies, are beautiful, the ladies, are beautiful, are beautiful, are beautiful]","[unaligned, entailAlign, unaligned, unaligned, unaligned, neutralAlign, unaligned]"
A man and a woman with feathers on her head dance.,The woman is sitting down.,"[A man, A man, and a woman, a woman, with feathers, on her head, dance]","[is sitting down, The woman, is sitting down, The woman, is sitting down, is sitting down, is sitting down]","[unaligned, unaligned, unaligned, entailAlign, unaligned, unaligned, contradictAlign]"
A man and a woman with feathers on her head dance.,the man is gay/,"[A man, A man, and a woman, with feathers, on her head, dance]","[is gay, the man, is gay, is gay, is gay, is gay]","[unaligned, entailAlign, unaligned, unaligned, unaligned, neutralAlign]"
A man and a woman with feathers on her head dance.,The woman is dancing.,"[A man, A man, a woman, with feathers, on her head, dance]","[is dancing, The woman, The woman, is dancing, is dancing, is dancing]","[unaligned, unaligned, entailAlign, unaligned, unaligned, entailAlign]"
"Two boys in a park, one standing near a tree and one sitting at a picnic table with the playground behind them.",The boys are friends.,"[Two boys, Two boys, in a park, near a tree, sitting at a picnic table]","[are friends, The boys, are friends, are friends, are friends]","[unaligned, neutralAlign, unaligned, unaligned, unaligned]"
"Two boys in a park, one standing near a tree and one sitting at a picnic table with the playground behind them.",There are people in a park.,"[Two boys, in a park, Two boys, in a park, one standing, sitting at a picnic table, with the playground, behind them]","[in a park, There are people, There are people, in a park, There are people, There are people, There are people, There are people]","[unaligned, unaligned, entailAlign, entailAlign, unaligned, unaligned, unaligned, unaligned]"
"Two boys in a park, one standing near a tree and one sitting at a picnic table with the playground behind them.",The boys are in a gym.,"[Two boys, Two boys, one standing, in a park, near a tree, sitting at a picnic table]","[are in a gym, The boys, are in a gym, are in a gym, are in a gym, are in a gym]","[unaligned, neutralAlign, unaligned, contradictAlign, unaligned, unaligned]"
A man wearing denim plays a bass against a dun wall.,A man entertaining people on the street.,"[A man, A man, wearing denim, plays a bass, plays a bass, against a dun wall]","[on the street, A man, on the street, on the street, entertaining people, on the street]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign, neutralAlign]"
